FAOSTAT 2013,,,,,
Elements Ê,,Areas Ê,,Items Ê,2009
Estonia,63,Per capita food supply variability (kcal/capita/day),21031,"25.06, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Ethiopia,238,Per capita food supply variability (kcal/capita/day),21031,"29.69, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Fiji,66,Per capita food supply variability (kcal/capita/day),21031,"10.20, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Finland,67,Per capita food supply variability (kcal/capita/day),21031,"4.53, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
France,68,Per capita food supply variability (kcal/capita/day),21031,"39.40, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
French Polynesia,70,Per capita food supply variability (kcal/capita/day),21031,"12.56, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Gabon,74,Per capita food supply variability (kcal/capita/day),21031,"34.51, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Gambia,75,Per capita food supply variability (kcal/capita/day),21031,"38.60, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Georgia,73,Per capita food supply variability (kcal/capita/day),21031,"57.17, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Germany,79,Per capita food supply variability (kcal/capita/day),21031,"15.48, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Ghana,81,Per capita food supply variability (kcal/capita/day),21031,"14.86, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Greece,84,Per capita food supply variability (kcal/capita/day),21031,"18.88, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Grenada,86,Per capita food supply variability (kcal/capita/day),21031,"41.46, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Guatemala,89,Per capita food supply variability (kcal/capita/day),21031,"24.67, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Guinea-Bissau,175,Per capita food supply variability (kcal/capita/day),21031,"28.99, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Guinea,90,Per capita food supply variability (kcal/capita/day),21031,"11.22, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Guyana,91,Per capita food supply variability (kcal/capita/day),21031,"20.95, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Haiti,93,Per capita food supply variability (kcal/capita/day),21031,"18.88, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Honduras,95,Per capita food supply variability (kcal/capita/day),21031,"12.10, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Hungary,97,Per capita food supply variability (kcal/capita/day),21031,"19.97, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Iceland,99,Per capita food supply variability (kcal/capita/day),21031,"27.42, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
India,100,Per capita food supply variability (kcal/capita/day),21031,"45.25, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Indonesia,101,Per capita food supply variability (kcal/capita/day),21031,"5.98, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Iran (Islamic Republic of),102,Per capita food supply variability (kcal/capita/day),21031,"44.40, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Iraq,103,Per capita food supply variability (kcal/capita/day),21031,"25.21, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Ireland,104,Per capita food supply variability (kcal/capita/day),21031,"54.03, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Israel,105,Per capita food supply variability (kcal/capita/day),21031,"31.18, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Italy,106,Per capita food supply variability (kcal/capita/day),21031,"27.79, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Jamaica,109,Per capita food supply variability (kcal/capita/day),21031,"4.93, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Japan,110,Per capita food supply variability (kcal/capita/day),21031,"17.96, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Jordan,112,Per capita food supply variability (kcal/capita/day),21031,"43.72, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Kazakhstan,108,Per capita food supply variability (kcal/capita/day),21031,"80.39, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Kenya,114,Per capita food supply variability (kcal/capita/day),21031,"50.05, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Kiribati,83,Per capita food supply variability (kcal/capita/day),21031,"28.62, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Kuwait,118,Per capita food supply variability (kcal/capita/day),21031,"28.96, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Kyrgyzstan,113,Per capita food supply variability (kcal/capita/day),21031,"47.63, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Lao People s Democratic Republic,120,Per capita food supply variability (kcal/capita/day),21031,"10.50, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Latvia,119,Per capita food supply variability (kcal/capita/day),21031,"40.43, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Lebanon,121,Per capita food supply variability (kcal/capita/day),21031,"23.71, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Lesotho,122,Per capita food supply variability (kcal/capita/day),21031,"16.78, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Liberia,123,Per capita food supply variability (kcal/capita/day),21031,"45.08, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Libya,124,Per capita food supply variability (kcal/capita/day),21031,"16.99, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Lithuania,126,Per capita food supply variability (kcal/capita/day),21031,"37.21, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Luxembourg,256,Per capita food supply variability (kcal/capita/day),21031,"47.86, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Madagascar,129,Per capita food supply variability (kcal/capita/day),21031,"36.26, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Malawi,130,Per capita food supply variability (kcal/capita/day),21031,"29.34, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Malaysia,131,Per capita food supply variability (kcal/capita/day),21031,"28.33, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Maldives,132,Per capita food supply variability (kcal/capita/day),21031,"63.39, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Mali,133,Per capita food supply variability (kcal/capita/day),21031,"8.38, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Malta,134,Per capita food supply variability (kcal/capita/day),21031,"12.90, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Mauritania,136,Per capita food supply variability (kcal/capita/day),21031,"55.39, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Mauritius,137,Per capita food supply variability (kcal/capita/day),21031,"17.30, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Mexico,138,Per capita food supply variability (kcal/capita/day),21031,"17.53, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Mongolia,141,Per capita food supply variability (kcal/capita/day),21031,"31.55, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Morocco,143,Per capita food supply variability (kcal/capita/day),21031,"31.51, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Mozambique,144,Per capita food supply variability (kcal/capita/day),21031,"23.66, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Myanmar,28,Per capita food supply variability (kcal/capita/day),21031,"20.99, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Namibia,147,Per capita food supply variability (kcal/capita/day),21031,"30.56, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Nepal,149,Per capita food supply variability (kcal/capita/day),21031,"21.03, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Netherlands Antilles,151,Per capita food supply variability (kcal/capita/day),21031,"12.93, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Netherlands,150,Per capita food supply variability (kcal/capita/day),21031,"15.65, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
New Caledonia,153,Per capita food supply variability (kcal/capita/day),21031,"11.10, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
New Zealand,156,Per capita food supply variability (kcal/capita/day),21031,"23.48, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Nicaragua,157,Per capita food supply variability (kcal/capita/day),21031,"17.70, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Niger,158,Per capita food supply variability (kcal/capita/day),21031,"28.10, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Nigeria,159,Per capita food supply variability (kcal/capita/day),21031,"19.23, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Norway,162,Per capita food supply variability (kcal/capita/day),21031,"12.79, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Occupied Palestinian Territory,299,Per capita food supply variability (kcal/capita/day),21031,"38.00, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Pakistan,165,Per capita food supply variability (kcal/capita/day),21031,"16.17, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Panama,166,Per capita food supply variability (kcal/capita/day),21031,"56.87, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Papua New Guinea,168,Per capita food supply variability (kcal/capita/day),21031,"16.26, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Paraguay,169,Per capita food supply variability (kcal/capita/day),21031,"42.56, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Peru,170,Per capita food supply variability (kcal/capita/day),21031,"38.47, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Philippines,171,Per capita food supply variability (kcal/capita/day),21031,"41.82, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Poland,173,Per capita food supply variability (kcal/capita/day),21031,"10.98, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Portugal,174,Per capita food supply variability (kcal/capita/day),21031,"18.98, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Republic of Korea,117,Per capita food supply variability (kcal/capita/day),21031,"4.83, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Republic of Moldova,146,Per capita food supply variability (kcal/capita/day),21031,"49.13, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Romania,183,Per capita food supply variability (kcal/capita/day),21031,"46.11, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Russian Federation,185,Per capita food supply variability (kcal/capita/day),21031,"60.41, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Rwanda,184,Per capita food supply variability (kcal/capita/day),21031,"29.41, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Saint Kitts and Nevis,188,Per capita food supply variability (kcal/capita/day),21031,"46.12, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Saint Lucia,189,Per capita food supply variability (kcal/capita/day),21031,"38.92, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Saint Vincent and the Grenadines,191,Per capita food supply variability (kcal/capita/day),21031,"18.90, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Samoa,244,Per capita food supply variability (kcal/capita/day),21031,"18.14, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Sao Tome and Principe,193,Per capita food supply variability (kcal/capita/day),21031,"23.80, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Saudi Arabia,194,Per capita food supply variability (kcal/capita/day),21031,"12.62, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Senegal,195,Per capita food supply variability (kcal/capita/day),21031,"11.24, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Seychelles,196,Per capita food supply variability (kcal/capita/day),21031,"35.32, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Sierra Leone,197,Per capita food supply variability (kcal/capita/day),21031,"37.65, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Slovakia,199,Per capita food supply variability (kcal/capita/day),21031,"11.08, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Slovenia,198,Per capita food supply variability (kcal/capita/day),21031,"17.04, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Solomon Islands,25,Per capita food supply variability (kcal/capita/day),21031,"26.93, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Somalia,201,Per capita food supply variability (kcal/capita/day),21031,"36.89, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
South Africa,202,Per capita food supply variability (kcal/capita/day),21031,"21.86, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Spain,203,Per capita food supply variability (kcal/capita/day),21031,"18.07, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Sri Lanka,38,Per capita food supply variability (kcal/capita/day),21031,"27.33, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Sudan (former),206,Per capita food supply variability (kcal/capita/day),21031,"17.77, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Suriname,207,Per capita food supply variability (kcal/capita/day),21031,"34.62, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Swaziland,209,Per capita food supply variability (kcal/capita/day),21031,"61.51, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Sweden,210,Per capita food supply variability (kcal/capita/day),21031,"19.03, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Switzerland,211,Per capita food supply variability (kcal/capita/day),21031,"16.54, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Syrian Arab Republic,212,Per capita food supply variability (kcal/capita/day),21031,"34.75, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Tajikistan,208,Per capita food supply variability (kcal/capita/day),21031,"30.95, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Thailand,216,Per capita food supply variability (kcal/capita/day),21031,"58.53, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
The former Yugoslav Republic of Macedonia,154,Per capita food supply variability (kcal/capita/day),21031,"75.88, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Timor-Leste,176,Per capita food supply variability (kcal/capita/day),21031,"54.07, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Togo,217,Per capita food supply variability (kcal/capita/day),21031,"13.50, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Trinidad and Tobago,220,Per capita food supply variability (kcal/capita/day),21031,"23.18, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Tunisia,222,Per capita food supply variability (kcal/capita/day),21031,"26.93, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Turkey,223,Per capita food supply variability (kcal/capita/day),21031,"21.43, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Turkmenistan,213,Per capita food supply variability (kcal/capita/day),21031,"36.26, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Uganda,226,Per capita food supply variability (kcal/capita/day),21031,"36.09, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Ukraine,230,Per capita food supply variability (kcal/capita/day),21031,"21.66, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
United Arab Emirates,225,Per capita food supply variability (kcal/capita/day),21031,"41.67, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
United Kingdom,229,Per capita food supply variability (kcal/capita/day),21031,"15.41, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
United Republic of Tanzania,215,Per capita food supply variability (kcal/capita/day),21031,"28.81, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
United States of America,231,Per capita food supply variability (kcal/capita/day),21031,"36.50, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Uruguay,234,Per capita food supply variability (kcal/capita/day),21031,"27.95, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Uzbekistan,235,Per capita food supply variability (kcal/capita/day),21031,"40.67, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Vanuatu,155,Per capita food supply variability (kcal/capita/day),21031,"6.90, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Venezuela (Bolivarian Republic of),236,Per capita food supply variability (kcal/capita/day),21031,"42.10, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Viet Nam,237,Per capita food supply variability (kcal/capita/day),21031,"32.86, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Yemen,249,Per capita food supply variability (kcal/capita/day),21031,"17.26, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Zambia,251,Per capita food supply variability (kcal/capita/day),21031,"33.10, kcal/capita/day ()",
Value (kcal/capita/day),,,,,
Zimbabwe,181,Per capita food supply variability (kcal/capita/day),21031,"22.98, kcal/capita/day ()",
Value (per 100 square km of land area),,,,,
Value (per 100 square km of land area),,Value (per 100 square km of land area),,,
Value (per 100 square km of land area),,,,,
Albania,3,Rail-lines density (per 100 square km of land area),21016,"1.47, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Algeria,4,Rail-lines density (per 100 square km of land area),21016,"0.20, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Argentina,9,Rail-lines density (per 100 square km of land area),21016,"0.90, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Australia,10,Rail-lines density (per 100 square km of land area),21016,"0.12, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Austria,11,Rail-lines density (per 100 square km of land area),21016,"6.90, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Azerbaijan,52,Rail-lines density (per 100 square km of land area),21016,"2.40, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Bangladesh,16,Rail-lines density (per 100 square km of land area),21016,"1.97, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Belarus,57,Rail-lines density (per 100 square km of land area),21016,"2.65, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Belgium,255,Rail-lines density (per 100 square km of land area),21016,"11.72, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Bolivia (Plurinational State of),19,Rail-lines density (per 100 square km of land area),21016,"0.26, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Bosnia and Herzegovina,80,Rail-lines density (per 100 square km of land area),21016,"1.98, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Botswana,20,Rail-lines density (per 100 square km of land area),21016,"0.15, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Brazil,21,Rail-lines density (per 100 square km of land area),21016,"0.35, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Bulgaria,27,Rail-lines density (per 100 square km of land area),21016,"3.74, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Burkina Faso,233,Rail-lines density (per 100 square km of land area),21016,"0.23, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Cameroon,32,Rail-lines density (per 100 square km of land area),21016,"0.21, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Canada,33,Rail-lines density (per 100 square km of land area),21016,"0.58, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Chile,40,Rail-lines density (per 100 square km of land area),21016,"0.71, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
China,351,Rail-lines density (per 100 square km of land area),21016,"0.68, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Colombia,44,Rail-lines density (per 100 square km of land area),21016,"0.15, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Croatia,98,Rail-lines density (per 100 square km of land area),21016,"4.81, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Cuba,49,Rail-lines density (per 100 square km of land area),21016,"4.62, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Czech Republic,167,Rail-lines density (per 100 square km of land area),21016,"12.09, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
C™te d Ivoire,107,Rail-lines density (per 100 square km of land area),21016,"0.20, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Democratic Republic of the Congo,250,Rail-lines density (per 100 square km of land area),21016,"0.16, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Denmark,54,Rail-lines density (per 100 square km of land area),21016,"4.95, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Egypt,59,Rail-lines density (per 100 square km of land area),21016,"0.52, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Estonia,63,Rail-lines density (per 100 square km of land area),21016,"2.05, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Finland,67,Rail-lines density (per 100 square km of land area),21016,"1.75, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
France,68,Rail-lines density (per 100 square km of land area),21016,"6.15, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Gabon,74,Rail-lines density (per 100 square km of land area),21016,"0.30, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Georgia,73,Rail-lines density (per 100 square km of land area),21016,"2.25, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Germany,79,Rail-lines density (per 100 square km of land area),21016,"9.44, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Greece,84,Rail-lines density (per 100 square km of land area),21016,"1.18, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Hungary,97,Rail-lines density (per 100 square km of land area),21016,"8.38, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
India,100,Rail-lines density (per 100 square km of land area),21016,"1.92, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Iran (Islamic Republic of),102,Rail-lines density (per 100 square km of land area),21016,"0.43, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Iraq,103,Rail-lines density (per 100 square km of land area),21016,"0.47, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Ireland,104,Rail-lines density (per 100 square km of land area),21016,"2.73, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Israel,105,Rail-lines density (per 100 square km of land area),21016,"4.55, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Italy,106,Rail-lines density (per 100 square km of land area),21016,"5.63, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Japan,110,Rail-lines density (per 100 square km of land area),21016,"5.30, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Jordan,112,Rail-lines density (per 100 square km of land area),21016,"0.33, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Kazakhstan,108,Rail-lines density (per 100 square km of land area),21016,"0.52, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Kyrgyzstan,113,Rail-lines density (per 100 square km of land area),21016,"0.21, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Latvia,119,Rail-lines density (per 100 square km of land area),21016,"2.92, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Lithuania,126,Rail-lines density (per 100 square km of land area),21016,"2.71, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Luxembourg,256,Rail-lines density (per 100 square km of land area),21016,"10.62, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Malaysia,131,Rail-lines density (per 100 square km of land area),21016,"0.50, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Mauritania,136,Rail-lines density (per 100 square km of land area),21016,"0.07, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Mexico,138,Rail-lines density (per 100 square km of land area),21016,"1.36, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Mongolia,141,Rail-lines density (per 100 square km of land area),21016,"0.12, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Morocco,143,Rail-lines density (per 100 square km of land area),21016,"0.47, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Mozambique,144,Rail-lines density (per 100 square km of land area),21016,"0.39, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Netherlands,150,Rail-lines density (per 100 square km of land area),21016,"6.95, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Norway,162,Rail-lines density (per 100 square km of land area),21016,"1.27, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Pakistan,165,Rail-lines density (per 100 square km of land area),21016,"0.98, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Peru,170,Rail-lines density (per 100 square km of land area),21016,"0.16, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Poland,173,Rail-lines density (per 100 square km of land area),21016,"6.32, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Portugal,174,Rail-lines density (per 100 square km of land area),21016,"3.09, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Republic of Korea,117,Rail-lines density (per 100 square km of land area),21016,"3.38, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Republic of Moldova,146,Rail-lines density (per 100 square km of land area),21016,"3.42, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Romania,183,Rail-lines density (per 100 square km of land area),21016,"4.52, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Russian Federation,185,Rail-lines density (per 100 square km of land area),21016,"0.50, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Saudi Arabia,194,Rail-lines density (per 100 square km of land area),21016,"0.05, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Serbia,272,Rail-lines density (per 100 square km of land area),21016,"4.59, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Slovakia,199,Rail-lines density (per 100 square km of land area),21016,"7.39, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Slovenia,198,Rail-lines density (per 100 square km of land area),21016,"6.06, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
South Africa,202,Rail-lines density (per 100 square km of land area),21016,"1.81, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Spain,203,Rail-lines density (per 100 square km of land area),21016,"2.98, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Sudan (former),206,Rail-lines density (per 100 square km of land area),21016,"0.18, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Swaziland,209,Rail-lines density (per 100 square km of land area),21016,"1.73, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Sweden,210,Rail-lines density (per 100 square km of land area),21016,"2.21, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Switzerland,211,Rail-lines density (per 100 square km of land area),21016,"8.59, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Syrian Arab Republic,212,Rail-lines density (per 100 square km of land area),21016,"0.97, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Tajikistan,208,Rail-lines density (per 100 square km of land area),21016,"0.43, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Thailand,216,Rail-lines density (per 100 square km of land area),21016,"0.86, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
The former Yugoslav Republic of Macedonia,154,Rail-lines density (per 100 square km of land area),21016,"2.72, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Tunisia,222,Rail-lines density (per 100 square km of land area),21016,"1.22, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Turkey,223,Rail-lines density (per 100 square km of land area),21016,"1.11, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Turkmenistan,213,Rail-lines density (per 100 square km of land area),21016,"0.63, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Ukraine,230,Rail-lines density (per 100 square km of land area),21016,"3.59, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
United Kingdom,229,Rail-lines density (per 100 square km of land area),21016,"6.64, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
United States of America,231,Rail-lines density (per 100 square km of land area),21016,"2.30, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Uzbekistan,235,Rail-lines density (per 100 square km of land area),21016,"0.95, per 100 square km of land area ()",
Value (per 100 square km of land area),,,,,
Viet Nam,237,Rail-lines density (per 100 square km of land area),21016,"0.71, per 100 square km of land area ()",
,,,,,
,,,,,
Flags :,,,,,
,,,,,
"var _gaq=_gaq||[];_gaq.push(['_setAccount','UA-30463742-1']);_gaq.push(['_trackPageview']);(function(){var ga=document.createElement('script');ga.type='text/javascript';ga.async=true;ga.src=('https:'==document.location.protocol?'https://ssl':'http://www')+'.google-analytics.com/ga.js';var s=document.getElementsByTagName('script')[0];s.parentNode.insertBefore(ga,s)})();",,,,,
